Optimizer,Activation,Loss,Accuracy
Adamax,linear,binary_crossentropy,0.6906820545393497
RMSprop,elu,binary_crossentropy,0.6887608280442977
Adadelta,selu,binary_crossentropy,0.6887608231201868
Nadam,relu,binary_crossentropy,0.6884406298313086
RMSprop,tanh,binary_crossentropy,0.6884406249071977
Adamax,elu,binary_crossentropy,0.6884406246781692
Nadam,selu,binary_crossentropy,0.6881204120363901
Adamax,tanh,binary_crossentropy,0.6878002212095673
Adamax,selu,binary_crossentropy,0.6878002119911736
Adadelta,elu,binary_crossentropy,0.6868395988009047
Adam,exponential,binary_crossentropy,0.6865193984121456
Adagrad,linear,binary_crossentropy,0.686519396923461
Adadelta,exponential,binary_crossentropy,0.6861992042071537
Adagrad,elu,binary_crossentropy,0.6858789895041189
Adam,selu,binary_crossentropy,0.6852385765880947
Adamax,softplus,binary_crossentropy,0.6849183816960176
Adam,elu,binary_crossentropy,0.6836375558639695
Nadam,sigmoid,binary_crossentropy,0.6836375543752848
RMSprop,softplus,binary_crossentropy,0.6836375452141482
Nadam,exponential,binary_crossentropy,0.6829971429479454
Nadam,hard_sigmoid,binary_crossentropy,0.6826769410705017
Adagrad,tanh,binary_crossentropy,0.6826769319093651
RMSprop,linear,binary_crossentropy,0.6826769282449104
Adadelta,linear,binary_crossentropy,0.6823567377043732
Nadam,tanh,binary_crossentropy,0.6823567306044924
RMSprop,selu,binary_crossentropy,0.6823567230465547
Nadam,softplus,binary_crossentropy,0.6820365299867049
Adam,linear,binary_crossentropy,0.6820365244900229
RMSprop,relu,binary_crossentropy,0.6817163248456063
RMSprop,exponential,binary_crossentropy,0.6817163226125792
Adagrad,selu,binary_crossentropy,0.6817163211238946
Adagrad,relu,binary_crossentropy,0.6813961229109055
Adadelta,tanh,binary_crossentropy,0.6807557063304267
Nadam,linear,binary_crossentropy,0.6804355081746947
Nadam,elu,binary_crossentropy,0.6804354992425865
Adamax,exponential,binary_crossentropy,0.680115304694052
Adadelta,softplus,binary_crossentropy,0.680115299140113
Adam,hard_sigmoid,binary_crossentropy,0.68011529524663
Adagrad,softplus,binary_crossentropy,0.6801152857419508
Adam,sigmoid,binary_crossentropy,0.6797950930256436
Adagrad,exponential,binary_crossentropy,0.6794748880563163
Adam,relu,binary_crossentropy,0.6794748874837452
Adam,tanh,binary_crossentropy,0.6788344709032665
Adadelta,relu,binary_crossentropy,0.6785142748660473
Adagrad,hard_sigmoid,binary_crossentropy,0.6762728397372133
Adamax,sigmoid,binary_crossentropy,0.6724303768988874
Adamax,hard_sigmoid,binary_crossentropy,0.67146976783113
RMSprop,sigmoid,binary_crossentropy,0.6711495604570042
Adam,softplus,binary_crossentropy,0.6676272855253889
SGD,elu,binary_crossentropy,0.6666666865348816
SGD,selu,binary_crossentropy,0.6666666865348816
SGD,softplus,binary_crossentropy,0.6666666865348816
SGD,tanh,binary_crossentropy,0.6666666865348816
SGD,sigmoid,binary_crossentropy,0.6666666865348816
SGD,hard_sigmoid,binary_crossentropy,0.6666666865348816
SGD,exponential,binary_crossentropy,0.6666666865348816
SGD,linear,binary_crossentropy,0.6666666865348816
RMSprop,hard_sigmoid,binary_crossentropy,0.6666666865348816
Adagrad,sigmoid,binary_crossentropy,0.6666666865348816
Adadelta,sigmoid,binary_crossentropy,0.6666666865348816
Adadelta,hard_sigmoid,binary_crossentropy,0.6666666865348816
Adamax,relu,binary_crossentropy,0.6666666865348816
SGD,relu,binary_crossentropy,0.6458533545392391
Nadam,linear,poisson,0.5072046111514085
Adam,relu,mean_squared_logarithmic_error,0.5024015371840694
Nadam,softplus,mean_squared_logarithmic_error,0.5024015371840694
Adamax,relu,mean_squared_error,0.5014409223906016
Nadam,linear,categorical_crossentropy,0.5004803075971338
RMSprop,relu,categorical_hinge,0.4985590780101981
