name,rating
Bayern Munich,153084.33622144625
Leverkusen,71439.89384027825
Schalke 04,63317.665812942374
Dortmund,58714.39000727235
Werder Bremen,45343.86768959324
Wolfsburg,27886.6951308926
Hertha Berlin,26983.04713268546
RB Leipzig,3934.5553243504264
Fortuna Dusseldorf,-268.1994316860069
Alemannia Aachen,-596.8174969207572
Hoffenheim,-817.5854341707707
Braunschweig,-925.257615494277
Ingolstadt,-1770.1076339931678
Greuther Furth,-2246.452411666306
Unterhaching,-3171.370921742705
Hamburger SV,-3234.1154320485643
Paderborn,-3304.229553663729
MSV Duisburg,-3821.3205893581035
Darmstadt 98,-4928.743435239604
Karlsruher SC,-5426.416584588531
St Pauli,-5553.847988662534
Augsburg,-9773.143209322901
Arminia Bielefeld,-11199.416548349236
Kaiserslautern,-12077.164619046247
Mainz 05,-12651.890356544354
Munich 1860,-14860.754741611277
VfB Stuttgart,-15165.334191962214
Freiburg,-19678.06710644641
Hansa Rostock,-23583.57090375136
FC Koln,-28538.77099950706
Bochum,-30043.201133706145
Energie Cottbus,-32135.457115413985
Hannover 96,-40197.49044448113
Nurnberg,-41737.95325516667
Eintracht Frankfurt,-42065.31651702104
Monchengladbach,-44932.4554878959
