,a,b
3,Bayern Munich,[0.50921327]
22,Leverkusen,[0.22205889]
30,Schalke 04,[0.2166577]
7,Dortmund,[0.19774985]
29,RB Leipzig,[0.14178735]
34,Werder Bremen,[0.13478436]
33,VfB Stuttgart,[0.08214896]
35,Wolfsburg,[0.08199716]
17,Hertha Berlin,[0.05946305]
24,Mainz 05,[0.05765318]
14,Hamburger SV,[0.05652021]
26,Munich 1860,[0.04008929]
25,Monchengladbach,[0.0303308]
18,Hoffenheim,[0.02785026]
15,Hannover 96,[0.02287154]
4,Bochum,[0.00435933]
12,Freiburg,[-0.0078857]
28,Paderborn,[-0.02924419]
5,Braunschweig,[-0.05115829]
8,Eintracht Frankfurt,[-0.05553363]
32,Unterhaching,[-0.06020167]
20,Kaiserslautern,[-0.07318695]
1,Arminia Bielefeld,[-0.08015971]
2,Augsburg,[-0.08040719]
21,Karlsruher SC,[-0.08257797]
19,Ingolstadt,[-0.08958273]
27,Nurnberg,[-0.10166765]
10,FC Koln,[-0.10293868]
11,Fortuna Dusseldorf,[-0.10301443]
9,Energie Cottbus,[-0.11421605]
16,Hansa Rostock,[-0.11589333]
23,MSV Duisburg,[-0.13420741]
6,Darmstadt 98,[-0.15359706]
0,Alemannia Aachen,[-0.1565503]
31,St Pauli,[-0.18531908]
13,Greuther Furth,[-0.19073941]
